Parent ID,Parent Weight,Child ID,Child Weight
10E2E4D8-9B37-4BAB-9F7A-C28BDCE80D91,1.00,B38748CE-177B-4024-847B-6FB2D537F6E5,1.00
8129A19E-AC9B-4BD0-B2DE-79AA4AF476F6,1.00,F3B4B881-9109-4FC7-9D80-331AECF7D2F1,1.00
F3B4B881-9109-4FC7-9D80-331AECF7D2F1,1.00,E1FDEE13-5CCE-4BDE-957A-425545395934,1.00
E1FDEE13-5CCE-4BDE-957A-425545395934,1.00,D51CC063-E960-4172-83CD-F91A58FC0694,1.00
D51CC063-E960-4172-83CD-F91A58FC0694,1.00,9DD5C33B-C7AA-438A-BE7A-36E116EBDF71,1.00
D51CC063-E960-4172-83CD-F91A58FC0694,1.00,04ABE8C5-67D1-4E74-9DE9-1ABB76F1A5F1,1.00
2B0A6796-82E4-4C53-8CFC-6B06FACE271D,1.00,EE19BA73-5D94-428D-AC79-D938A804C659,1.00
2B0A6796-82E4-4C53-8CFC-6B06FACE271D,1.00,6CE22022-DA44-4F17-9DE2-E64BC6F22321,1.00
2B0A6796-82E4-4C53-8CFC-6B06FACE271D,1.00,70BF87FC-67F8-4B39-91FD-C7D34C8C61A0,1.00
2B0A6796-82E4-4C53-8CFC-6B06FACE271D,1.00,361F9710-BA43-4276-AC09-9F4A7727B253,1.00
2B0A6796-82E4-4C53-8CFC-6B06FACE271D,1.00,7F87BAC3-A9F1-4CF7-8020-4EBABFDFACB5,1.00
503CB875-D11C-4813-B306-89869CBC9523,1.00,761E6766-703D-445A-A450-CD601FDFA1DA,1.00
503CB875-D11C-4813-B306-89869CBC9523,1.00,D5136F37-6B31-4FB3-9C3F-76FDD156D872,1.00
503CB875-D11C-4813-B306-89869CBC9523,1.00,F0F5F62E-1567-44BB-B7D4-106519050ED5,1.00
503CB875-D11C-4813-B306-89869CBC9523,1.00,D5B8838E-BB99-4821-B5BD-4FFD4090DE23,1.00
503CB875-D11C-4813-B306-89869CBC9523,1.00,CB84CAFD-5544-41CE-93DF-92F35135A016,1.00
F9CD00F3-59F2-4683-B566-9E320AA51C1E,1.00,AB0FDD9C-BCAB-407B-8E97-1F203FE410AC,1.00
F9CD00F3-59F2-4683-B566-9E320AA51C1E,1.00,01974DBF-8B57-45E8-B924-A114928D4E3A,1.00
F9CD00F3-59F2-4683-B566-9E320AA51C1E,1.00,F937E53D-30E5-4DCC-85FC-34A4F023E7F6,1.00
F9CD00F3-59F2-4683-B566-9E320AA51C1E,1.00,3336093A-CCB7-4E46-AF8A-B41D361E8853,1.00
F9CD00F3-59F2-4683-B566-9E320AA51C1E,1.00,C7E55A97-7571-4CAA-AA35-ED79DF835E75,1.00
72FF13CA-2B77-4679-BCC1-06256BA9D86F,1.00,2A6D8DB4-4F14-4586-8E43-02A49C6237EC,1.00
72FF13CA-2B77-4679-BCC1-06256BA9D86F,1.00,C90394AA-1CA8-42F1-8A59-39B9CDD68B23,1.00
C90394AA-1CA8-42F1-8A59-39B9CDD68B23,1.00,206B954C-3333-41D5-9F03-F095B7EB4547,1.00
206B954C-3333-41D5-9F03-F095B7EB4547,1.00,9F3046F7-ED2B-4FC7-9F2A-A1757050E675,1.00
9F3046F7-ED2B-4FC7-9F2A-A1757050E675,1.00,3914D78E-78C3-48CA-A8F0-EFBE9951FBB3,1.00
681622B9-92CB-4C03-9DD6-35066E7E8E11,1.00,6831BCBE-ED0F-4B81-A221-1C76BB6039A2,1.00
6831BCBE-ED0F-4B81-A221-1C76BB6039A2,1.00,7F228A42-D442-4AB9-B2AD-DF6E3A61DC24,1.00
6831BCBE-ED0F-4B81-A221-1C76BB6039A2,1.00,0A34BDD1-D55B-4B28-ABED-4D0048DACA6F,1.00
6831BCBE-ED0F-4B81-A221-1C76BB6039A2,1.00,BFCA7B2A-E1DA-4052-B92D-C81070F705FC,1.00
BFCA7B2A-E1DA-4052-B92D-C81070F705FC,1.00,3D59C33C-D074-4ADE-ACEA-836B86B73234,1.00
43C84D9F-9E29-4BDC-89AE-5BA356839C84,1.00,558B8F9F-5D6A-4A2E-B1EC-FA6FAF266BD3,1.00
43C84D9F-9E29-4BDC-89AE-5BA356839C84,1.00,7B919137-4657-4385-B98A-71DB7EA2B90D,1.00
43C84D9F-9E29-4BDC-89AE-5BA356839C84,1.00,12731595-F596-47C6-8CEA-39850D23CC24,1.00
43C84D9F-9E29-4BDC-89AE-5BA356839C84,1.00,819736C5-E656-482F-BEBD-F78C3A3DA6D5,1.00
43C84D9F-9E29-4BDC-89AE-5BA356839C84,1.00,284DE29A-F684-4A5C-917E-723E40B60C45,1.00
2EA01185-8307-4ECA-9903-81310A69D3F9,1.00,839EBF84-4CFF-4EDC-9681-92DF6E7DDD6A,1.00
839EBF84-4CFF-4EDC-9681-92DF6E7DDD6A,1.00,49333A98-50BE-4F05-B0D3-4B8D577DD221,1.00
839EBF84-4CFF-4EDC-9681-92DF6E7DDD6A,1.00,67FCD6FF-5FAC-44E4-985E-3A1AFD989A8F,1.00
67FCD6FF-5FAC-44E4-985E-3A1AFD989A8F,1.00,6EFB8A2D-5D2E-48A3-B409-B7950297B28C,1.00
6EFB8A2D-5D2E-48A3-B409-B7950297B28C,1.00,64B67D0C-1D91-461B-A534-1182EBC2364F,1.00
82710858-3902-4B27-81A1-D0E1DFC84B63,1.00,A4EA72D6-8672-4731-A89E-DC88AA919212,1.00
82710858-3902-4B27-81A1-D0E1DFC84B63,1.00,718C564B-9725-4D1E-B7A5-25C93F49AFB8,1.00
82710858-3902-4B27-81A1-D0E1DFC84B63,1.00,EBABD202-F3B3-4C70-A988-2FCB74611A6F,1.00
82710858-3902-4B27-81A1-D0E1DFC84B63,1.00,22CB1062-7EA1-46DB-9F49-9BB795D244CF,1.00
82710858-3902-4B27-81A1-D0E1DFC84B63,1.00,B5EB27B3-6854-4B70-8BD1-6BCD04C7CF42,1.00
6FA6528D-648B-4857-A28A-9B2956AE8319,1.00,D91E8684-8445-4DFD-9B75-D21AB0A3B6C2,1.00
D91E8684-8445-4DFD-9B75-D21AB0A3B6C2,1.00,C28F1F24-47F1-4605-94FB-749E3FC71A34,1.00
C28F1F24-47F1-4605-94FB-749E3FC71A34,1.00,5C905D4F-1207-4D97-96C3-DCD6F5C662D8,1.00
5C905D4F-1207-4D97-96C3-DCD6F5C662D8,1.00,C2100B47-5A66-4280-9EA9-1082F7E4AA52,1.00
C2100B47-5A66-4280-9EA9-1082F7E4AA52,1.00,4791DF25-D506-40AB-A7F5-9350C6181B53,1.00
44014864-2308-4B22-A85B-C0C87B907E60,1.00,715E6E30-3C8B-4AB8-AB51-482009ED560A,1.00
44014864-2308-4B22-A85B-C0C87B907E60,1.00,3D541858-55A8-4DBB-844B-23B72E8924E9,1.00
44014864-2308-4B22-A85B-C0C87B907E60,1.00,DD4440F3-E3D3-46DA-B071-B3DD81C9B847,1.00
44014864-2308-4B22-A85B-C0C87B907E60,1.00,DACC4BF1-A542-44B5-8E22-6635B5399D0A,1.00
44014864-2308-4B22-A85B-C0C87B907E60,1.00,F7E5326C-D774-4CE2-B5B0-12DD310DA201,1.00
E31E7A18-8D4D-4B26-A641-B449D53F03BE,1.00,C373426F-2E7D-4256-AFDC-FBAC577BC309,1.00
E31E7A18-8D4D-4B26-A641-B449D53F03BE,1.00,19A868B9-24BC-4061-A56C-A62A70296F69,1.00
E31E7A18-8D4D-4B26-A641-B449D53F03BE,1.00,3F5471A5-3CD5-4531-B1EF-B71703D09933,1.00
3F5471A5-3CD5-4531-B1EF-B71703D09933,1.00,BBB26A8B-0305-440F-872F-B79632DB3E7A,1.00
BBB26A8B-0305-440F-872F-B79632DB3E7A,1.00,5827F861-606B-43A3-9E0B-9ED3B201634C,1.00
677A536B-024F-4829-AC61-83C6D0CF0786,1.00,0AF8C8C0-ED78-4F32-8404-26582AC2302E,1.00
