Type,ID,Title,Keyword,Associated Commits,Files
Issue,4907,Update jerry-port and jerry-ext,pass,ac1c48eeff7287d144ce5bb04abc057a6da7c7e9,".clang-format, CMakeLists.txt, docs/01.CONFIGURATION.md, docs/02.API-REFERENCE.md, docs/03.API-EXAMPLE.md, docs/05.PORT-API.md, docs/07.DEBUGGER.md, docs/10.EXT-REFERENCE-HANDLER.md, jerry-core/CMakeLists.txt, jerry-core/api/jerry-debugger-transport.c, jerry-core/api/jerry-debugger.c, jerry-core/api/jerry-module.c, jerry-core/api/jerry-snapshot.c, jerry-core/api/jerryscript.c, jerry-core/debugger/debugger.h, jerry-core/ecma/base/ecma-gc.c, jerry-core/ecma/base/ecma-helpers-string.c, jerry-core/ecma/base/ecma-helpers.c, jerry-core/ecma/base/ecma-init-finalize.c, jerry-core/ecma/base/ecma-literal-storage.c, jerry-core/ecma/builtin-objects/ecma-builtin-date-prototype.c, jerry-core/ecma/builtin-objects/ecma-builtin-date.c, jerry-core/ecma/builtin-objects/ecma-builtin-helpers-date.c, jerry-core/ecma/builtin-objects/ecma-builtin-helpers.h, jerry-core/include/jerryscript-compiler.h, jerry-core/include/jerryscript-core.h, jerry-core/include/jerryscript-debugger.h, jerry-core/include/jerryscript-port.h, jerry-core/include/jerryscript-types.h, jerry-core/jcontext/jcontext.h, jerry-core/jmem/jmem-heap.c, jerry-core/jmem/jmem.h, jerry-core/jrt/jrt-fatals.c, jerry-core/jrt/jrt.h, jerry-core/libjerry-core.pc.in, jerry-core/parser/js/js-parser.c, jerry-core/parser/js/js-scanner.c, jerry-core/vm/opcodes.c, jerry-core/vm/vm.c, jerry-debugger/jerry_client_main.py, jerry-ext/CMakeLists.txt, jerry-ext/common/jext-common.h, jerry-ext/debugger/debugger-common.c, jerry-ext/debugger/debugger-tcp.c, jerry-ext/handler/handler-assert.c, jerry-ext/handler/handler-print.c, jerry-ext/handler/handler-source-name.c, jerry-ext/include/jerryscript-ext/debugger.h, jerry-ext/include/jerryscript-ext/handlers.h, jerry-ext/include/jerryscript-ext/print.h, jerry-ext/include/jerryscript-ext/properties.h, jerry-ext/include/jerryscript-ext/repl.h, jerry-ext/include/jerryscript-ext/sources.h, jerry-ext/include/jerryscript-ext/test262.h, jerry-ext/util/handlers.c, jerry-ext/util/print.c, jerry-ext/util/properties.c, jerry-ext/util/repl.c, jerry-ext/util/sources.c, jerry-ext/util/test262.c, jerry-main/CMakeLists.txt, jerry-main/arguments/cli.c, jerry-main/arguments/cli.h, jerry-main/arguments/options.c, jerry-main/arguments/options.h, jerry-main/benchmark/main-benchmark.c, jerry-main/benchmark/stubs.c, jerry-main/main-desktop.c, jerry-main/main-jerry.c, jerry-main/main-libfuzzer.c, jerry-main/main-snapshot.c, jerry-main/main-utils.c, jerry-main/main-utils.h, jerry-math/CMakeLists.txt, jerry-port/CMakeLists.txt, jerry-port/common/jerry-port-context.c, jerry-port/common/jerry-port-fs.c, jerry-port/common/jerry-port-io.c, jerry-port/common/jerry-port-process.c, jerry-port/default/default-date.c, jerry-port/default/default-io.c, jerry-port/default/default-module.c, jerry-port/libjerry-port.pc.in, jerry-port/unix/jerry-port-unix-date.c, jerry-port/unix/jerry-port-unix-fs.c, jerry-port/unix/jerry-port-unix-process.c, jerry-port/win/jerry-port-win-date.c, jerry-port/win/jerry-port-win-fs.c, jerry-port/win/jerry-port-win-process.c, targets/baremetal-sdk/esp-idf/CMakeLists.txt.example, targets/baremetal-sdk/esp-idf/README.md, targets/baremetal-sdk/esp-idf/jerry_module.c, targets/baremetal-sdk/esp-idf/jerry_port.c, targets/baremetal-sdk/esp8266-rtos-sdk/Makefile.esp8266, targets/baremetal-sdk/esp8266-rtos-sdk/user/jerry_port.c, targets/baremetal-sdk/esp8266-rtos-sdk/user/jerry_run.c, targets/os/mbedos5/.mbedignore, targets/os/mbedos5/jerry-main.cpp, targets/os/mbedos5/jerry-port.cpp, targets/os/nuttx/Makefile, targets/os/nuttx/Makefile.travis, targets/os/nuttx/README.md, targets/os/nuttx/jerry-main.c, targets/os/nuttx/jerry-port.c, targets/os/nuttx/jerry_main.c, targets/os/nuttx/jerry_module.c, targets/os/nuttx/jerry_port.c, targets/os/riot/Makefile, targets/os/riot/source/jerry-main.c, targets/os/riot/source/jerry-port.c, targets/os/zephyr/CMakeLists.txt, targets/os/zephyr/src/jerry-main.c, targets/os/zephyr/src/jerry-module.c, targets/os/zephyr/src/jerry-port.c, targets/os/zephyr/src/main-zephyr.c, tests/debugger/client_source.expected, tests/debugger/client_source_multiple.expected, tests/debugger/do_abort.expected, tests/debugger/do_backtrace.expected, tests/debugger/do_break.expected, tests/debugger/do_delete.expected, tests/debugger/do_display.expected, tests/debugger/do_eval_syntax.expected, tests/debugger/do_exception.expected, tests/debugger/do_finish.expected, tests/debugger/do_next.expected, tests/debugger/do_pending_breakpoints.expected, tests/debugger/do_print.expected, tests/debugger/do_print.js, tests/debugger/do_restart.expected, tests/debugger/do_src.expected, tests/debugger/do_throw.expected, tests/debugger/do_throw_adv.expected, tests/jerry/date-getters.js, tests/jerry/date-tostring.js, tests/unit-core/CMakeLists.txt, tests/unit-core/test-api-functiontype.c, tests/unit-core/test-api-iteratortype.c, tests/unit-core/test-api-object-property-names.c, tests/unit-core/test-api-objecttype.c, tests/unit-core/test-api-promise.c, tests/unit-core/test-api-value-type.c, tests/unit-core/test-arraybuffer.c, tests/unit-core/test-bigint.c, tests/unit-core/test-common.h, tests/unit-core/test-container-operation.c, tests/unit-core/test-container.c, tests/unit-core/test-dataview.c, tests/unit-core/test-internal-properties.c, tests/unit-core/test-module-dynamic.c, tests/unit-core/test-module-import-meta.c, tests/unit-core/test-module.c, tests/unit-core/test-native-callback-nested.c, tests/unit-core/test-newtarget.c, tests/unit-core/test-objects-foreach.c, tests/unit-core/test-promise-callback.c, tests/unit-core/test-promise.c, tests/unit-core/test-regexp-dotall-unicode.c, tests/unit-core/test-regression-3588.c, tests/unit-core/test-source-info.c, tests/unit-core/test-source-name.c, tests/unit-core/test-symbol.c, tests/unit-core/test-typedarray.c, tests/unit-doc/CMakeLists.txt, tests/unit-ext/CMakeLists.txt, tests/unit-ext/module/CMakeLists.txt, tests/unit-ext/test-common.h, tests/unit-ext/test-ext-method-register.c, tools/amalgam.py, tools/build.py"
Issue,4907,Update jerry-port and jerry-ext,pass,fd02961f4aa63c0afed9d7bf2fa8a7375a2efdc3,"jerry-core/CMakeLists.txt, jerry-core/api/jerryscript.c, jerry-core/jcontext/jcontext.h, jerry-core/jmem/jmem-heap.c, jerry-core/jrt/jrt-logging.c, jerry-core/jrt/jrt.h"
Issue,4907,Update jerry-port and jerry-ext,pass,ef3ec46c6ca82e420ea2799187ed8cdef4e53f64,"jerry-core/CMakeLists.txt, jerry-core/api/jerryscript.c, jerry-core/jcontext/jcontext.h, jerry-core/jmem/jmem-heap.c, jerry-core/jrt/jrt-logging.c, jerry-core/jrt/jrt.h"
Issue,4907,Update jerry-port and jerry-ext,pass,56b9797e232e189e0e35f1e0732c0dc53dc50452,"jerry-core/CMakeLists.txt, jerry-core/api/jerryscript.c, jerry-core/jcontext/jcontext.h, jerry-core/jmem/jmem-heap.c, jerry-core/jrt/jrt-logging.c, jerry-core/jrt/jrt.h"
Issue,4907,Update jerry-port and jerry-ext,pass,9929e64910d76e5c84fc338f838512ec46f55cab,"jerry-core/CMakeLists.txt, jerry-core/api/jerryscript.c, jerry-core/jcontext/jcontext.h, jerry-core/jmem/jmem-heap.c, jerry-core/jrt/jrt-logging.c, jerry-core/jrt/jrt.h"
Issue,4907,Update jerry-port and jerry-ext,pass,0a5a368dbff58568466d3613ffa08ff507e32fe3,"jerry-core/CMakeLists.txt, jerry-core/api/jerryscript.c, jerry-core/jcontext/jcontext.h, jerry-core/jmem/jmem-heap.c, jerry-core/jrt/jrt-logging.c, jerry-core/jrt/jrt.h"
Issue,4907,Update jerry-port and jerry-ext,pass,76403606d08adb53023f7093c90ce2070a0e28fb,"jerry-core/CMakeLists.txt, jerry-core/api/jerryscript.c, jerry-core/jcontext/jcontext.h, jerry-core/jmem/jmem-heap.c, jerry-core/jrt/jrt-logging.c, jerry-core/jrt/jrt.h"
Issue,4902,Assertion 'ecma_is_lexical_environment (object_p)' failed at ecma-helpers.c (ecma_get_lex_env_type).,null,,
Issue,4901,Stack-overflow in vm_loop.lto_priv.304 of vm.c,overflow,60f31d90949b22ea7f36da7888b5895a6cc7e676,"jerry-core/ecma/operations/ecma-function-object.c, tests/jerry/regression-test-issue-4901.js"
Issue,4901,Stack-overflow in vm_loop.lto_priv.304 of vm.c,overflow,1ad4d873616624fc7a27a6530278a014e001e0d5,".github/workflows/gh-actions.yml, jerry-core/ecma/operations/ecma-function-object.c, tests/jerry/regression-test-issue-4901.js"
